ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
0,0,2,46,0,0,480.93,0.00,0.00,0.00,460374.860000,4670905.200000,COTA,0.00100,0.00000,34,1,5.00,5,480.9,COT01,/POSE/X0.00/Y-7.50/m,460374.860000000,4670905.20000000,480.930000000000
1,0,2,46,0,0,487.39,0.00,0.00,0.00,460370.540000,4670798.130000,COTA,0.00100,0.00000,34,1,5.00,5,487.4,COT01,/POSE/X4.83/Y-5.80/m,460370.540000000,4670798.13000000,487.390000000000
2,0,2,46,0,0,483.81,0.00,0.00,0.00,460506.380000,4670834.730000,COTA,0.00100,0.00000,34,1,5.00,5,483.8,COT01,/POSE/X-8.89/Y-8.61/m,460506.380000000,4670834.73000000,483.810000000000
3,0,2,46,0,0,422.63,0.00,0.00,0.00,459709.110000,4670892.540000,COTA,0.00100,0.00000,34,1,5.00,5,422.6,COT01,/POSE/X-17.56/Y1.32/m,459709.110000000,4670892.54000000,422.630000000000
4,0,2,46,0,0,462.44,0.00,0.00,0.00,459903.470000,4670819.750000,COTA,0.00100,0.00000,34,1,5.00,5,462.4,COT01,/POSE/X0.00/Y-7.50/m,459903.470000000,4670819.75000000,462.440000000000
5,0,2,46,0,0,526.38,0.00,0.00,0.00,460073.950000,4670679.320000,COTA,0.00100,0.00000,34,1,5.00,5,526.4,COT01,/POSE/X0.00/Y-7.50/m,460073.950000000,4670679.32000000,526.380000000000
6,0,2,46,0,0,507.35,0.00,0.00,0.00,460127.270000,4670754.470000,COTA,0.00100,0.00000,34,1,5.00,5,507.4,COT01,/POSE/X-1.25/Y-9.26/m,460127.270000000,4670754.47000000,507.350000000000
7,0,2,46,0,0,500.39,0.00,0.00,0.00,460161.610000,4670801.640000,COTA,0.00100,0.00000,34,1,5.00,5,500.4,COT01,/POSE/X5.01/Y1.03/m,460161.610000000,4670801.64000000,500.390000000000
8,0,2,46,0,0,505.32,0.00,0.00,0.00,460111.180000,4670800.500000,COTA,0.00100,0.00000,34,1,5.00,5,505.3,COT01,/POSE/X2.57/Y0.52/m,460111.180000000,4670800.50000000,505.320000000000
9,0,2,46,0,0,497.36,0.00,0.00,0.00,460098.360000,4670860.890000,COTA,0.00100,0.00000,34,1,5.00,5,497.4,COT01,/POSE/X3.45/Y-3.38/m,460098.360000000,4670860.89000000,497.360000000000
10,0,2,46,0,0,510.59,0.00,0.00,0.00,460057.250000,4670907.770000,COTA,0.00100,0.00000,34,1,5.00,5,510.6,COT01,/POSE/X-18.49/Y-7.50/m,460057.250000000,4670907.77000000,510.590000000000
11,0,2,46,0,0,491.69,0.00,0.00,0.00,460165.130000,4670855.120000,COTA,0.00100,0.00000,34,1,5.00,5,491.7,COT01,/POSE/X0.00/Y-7.50/m,460165.130000000,4670855.12000000,491.690000000000
12,0,2,46,0,0,493.45,0.00,0.00,0.00,460255.080000,4670796.680000,COTA,0.00100,0.00000,34,1,5.00,5,493.5,COT01,/POSE/X0.00/Y-7.50/m,460255.080000000,4670796.68000000,493.450000000000
13,0,2,46,0,0,659.30,0.00,0.00,0.00,460142.740000,4670258.400000,COTA,0.00100,0.00000,34,1,5.00,5,659.3,COT01,/POSE/X-1.57/Y-9.38/m,460142.740000000,4670258.40000000,659.300000000000
14,0,2,46,0,0,658.76,0.00,0.00,0.00,460096.270000,4670262.450000,COTA,0.00100,0.00000,34,1,5.00,5,658.8,COT01,/POSE/X-13.57/Y9.15/m,460096.270000000,4670262.45000000,658.760000000000
15,0,2,46,0,0,651.30,0.00,0.00,0.00,460199.250000,4670159.010000,COTA,0.00100,0.00000,34,1,5.00,5,651.3,COT01,/POSE/X-13.75/Y-8.39/m,460199.250000000,4670159.01000000,651.300000000000
16,0,2,46,0,0,637.07,0.00,0.00,0.00,460190.230000,4670013.410000,COTA,0.00100,0.00000,34,1,5.00,5,637.1,COT01,/POSE/X5.30/Y2.44/m,460190.230000000,4670013.41000000,637.070000000000
17,0,2,46,0,0,655.09,0.00,0.00,0.00,460055.190000,4670304.940000,COTA,0.00100,0.00000,34,1,5.00,5,655.1,COT01,/POSE/X3.75/Y-5.15/m,460055.190000000,4670304.94000000,655.090000000000
18,0,2,46,0,0,646.32,0.00,0.00,0.00,460004.250000,4670355.950000,COTA,0.00100,0.00000,34,1,5.00,5,646.3,COT01,/POSE/X-4.87/Y-8.15/m,460004.250000000,4670355.95000000,646.320000000000
19,0,2,46,0,0,632.56,0.00,0.00,0.00,459847.280000,4670405.550000,COTA,0.00100,0.00000,34,1,5.00,5,632.6,COT01,/POSE/X0.00/Y-7.50/m,459847.280000000,4670405.55000000,632.560000000000
20,0,2,46,0,0,628.50,0.00,0.00,0.00,459889.070000,4670311.380000,COTA,0.00100,0.00000,34,1,5.00,5,628.5,COT01,/POSE/X0.00/Y-7.50/m,459889.070000000,4670311.38000000,628.500000000000
21,0,2,46,0,0,646.04,0.00,0.00,0.00,460021.790000,4670234.510000,COTA,0.00100,0.00000,34,1,5.00,5,646.0,COT01,/POSE/X-9.06/Y-9.55/m,460021.790000000,4670234.51000000,646.040000000000
22,0,2,46,0,0,653.05,0.00,0.00,0.00,460097.960000,4670206.640000,COTA,0.00100,0.00000,34,1,5.00,5,653.1,COT01,/POSE/X0.00/Y-7.50/m,460097.960000000,4670206.64000000,653.050000000000
23,0,2,46,0,0,618.25,0.00,0.00,0.00,459866.670000,4670239.700000,COTA,0.00100,0.00000,34,1,5.00,5,618.3,COT01,/POSE/X0.00/Y-7.50/m,459866.670000000,4670239.70000000,618.250000000000
24,0,2,46,0,0,626.87,0.00,0.00,0.00,459939.650000,4670173.000000,COTA,0.00100,0.00000,34,1,5.00,5,626.9,COT01,/POSE/X0.00/Y-7.50/m,459939.650000000,4670173.00000000,626.870000000000
25,0,2,46,0,0,634.31,0.00,0.00,0.00,459963.890000,4670208.760000,COTA,0.00100,0.00000,34,1,5.00,5,634.3,COT01,/POSE/X0.00/Y-7.50/m,459963.890000000,4670208.76000000,634.310000000000
26,0,2,46,0,0,639.54,0.00,0.00,0.00,460056.290000,4670125.910000,COTA,0.00100,0.00000,34,1,5.00,5,639.5,COT01,/POSE/X-4.43/Y-8.28/m,460056.290000000,4670125.91000000,639.540000000000
27,0,2,46,0,0,629.17,0.00,0.00,0.00,460002.500000,4670083.990000,COTA,0.00100,0.00000,34,1,5.00,5,629.2,COT01,/POSE/X0.00/Y-7.50/m,460002.500000000,4670083.99000000,629.170000000000
28,0,2,46,0,0,648.32,0.00,0.00,0.00,460137.250000,4670149.460000,COTA,0.00100,0.00000,34,1,5.00,5,648.3,COT01,/POSE/X-19.73/Y1.28/m,460137.250000000,4670149.46000000,648.320000000000
29,0,2,46,0,0,637.95,0.00,0.00,0.00,460172.230000,4670054.900000,COTA,0.00100,0.00000,34,1,5.00,5,638.0,COT01,/POSE/X0.00/Y-7.50/m,460172.230000000,4670054.90000000,637.950000000000
30,0,2,46,0,0,626.65,0.00,0.00,0.00,460026.400000,4670007.490000,COTA,0.00100,0.00000,34,1,5.00,5,626.7,COT01,/POSE/X0.00/Y-7.50/m,460026.400000000,4670007.49000000,626.650000000000
31,0,2,46,0,0,624.22,0.00,0.00,0.00,459937.300000,4669910.570000,COTA,0.00100,0.00000,34,1,5.00,5,624.2,COT01,/POSE/X0.00/Y-7.50/m,459937.300000000,4669910.57000000,624.220000000000
32,0,2,46,0,0,628.61,0.00,0.00,0.00,460046.380000,4669927.300000,COTA,0.00100,0.00000,34,1,5.00,5,628.6,COT01,/POSE/X-7.80/Y-8.76/m,460046.380000000,4669927.30000000,628.610000000000
33,0,2,46,0,0,635.12,0.00,0.00,0.00,460143.970000,4669939.270000,COTA,0.00100,0.00000,34,1,5.00,5,635.1,COT01,/POSE/X0.00/Y-7.50/m,460143.970000000,4669939.27000000,635.120000000000
34,0,2,46,0,0,638.31,0.00,0.00,0.00,460165.560000,4669897.370000,COTA,0.00100,0.00000,34,1,5.00,5,638.3,COT01,/POSE/X-19.24/Y-4.53/m,460165.560000000,4669897.37000000,638.310000000000
