ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
1,0,2,46,0,0,487.39,0.0,0.0,0.0,460370.54,4670798.13,COTA,0.001,0.0,34,1,5.0,5,487.4,COT01,/POSE/X4.83/Y-5.80/m,460370.54,4670798.13,487.39
4,0,2,46,0,0,462.44,0.0,0.0,0.0,459903.47,4670819.75,COTA,0.001,0.0,34,1,5.0,5,462.4,COT01,/POSE/X0.00/Y-7.50/m,459903.47,4670819.75,462.44
8,0,2,46,0,0,505.32,0.0,0.0,0.0,460111.18,4670800.5,COTA,0.001,0.0,34,1,5.0,5,505.3,COT01,/POSE/X2.57/Y0.52/m,460111.18,4670800.5,505.32
11,0,2,46,0,0,491.69,0.0,0.0,0.0,460165.13,4670855.12,COTA,0.001,0.0,34,1,5.0,5,491.7,COT01,/POSE/X0.00/Y-7.50/m,460165.13,4670855.12,491.69
13,0,2,46,0,0,659.3,0.0,0.0,0.0,460142.74,4670258.4,COTA,0.001,0.0,34,1,5.0,5,659.3,COT01,/POSE/X-1.57/Y-9.38/m,460142.74,4670258.4,659.3
14,0,2,46,0,0,658.76,0.0,0.0,0.0,460096.27,4670262.45,COTA,0.001,0.0,34,1,5.0,5,658.8,COT01,/POSE/X-13.57/Y9.15/m,460096.27,4670262.45,658.76
15,0,2,46,0,0,651.3,0.0,0.0,0.0,460199.25,4670159.01,COTA,0.001,0.0,34,1,5.0,5,651.3,COT01,/POSE/X-13.75/Y-8.39/m,460199.25,4670159.01,651.3
16,0,2,46,0,0,637.07,0.0,0.0,0.0,460190.23,4670013.41,COTA,0.001,0.0,34,1,5.0,5,637.1,COT01,/POSE/X5.30/Y2.44/m,460190.23,4670013.41,637.07
17,0,2,46,0,0,655.09,0.0,0.0,0.0,460055.19,4670304.94,COTA,0.001,0.0,34,1,5.0,5,655.1,COT01,/POSE/X3.75/Y-5.15/m,460055.19,4670304.94,655.09
18,0,2,46,0,0,646.32,0.0,0.0,0.0,460004.25,4670355.95,COTA,0.001,0.0,34,1,5.0,5,646.3,COT01,/POSE/X-4.87/Y-8.15/m,460004.25,4670355.95,646.32
